Title,Link,Date,Text
ELLEN ON SHAPE,https://vegnews.com/2010/5/ellen-on-shape,"MAY 6, 2010","The cover of the May issue of Shape magazine features funny lady Ellen DeGeneres, who shares how going vegan has changed her life. DeGeneres raves that her plant-based diet combined with yoga have completely transformed her, both physically and mentally. Along with eating cruelty-free, the media maven has eliminated sugar from her diet, revealing that she has more energy and feels more invigorated without it, and never feels deprived. DeGeneres says that she was raised eating meat and unhealthy fried foods, and that looking back she now understands that those choices were irresponsible. She also dishes about her daily diet habits—including bok choy for breakfast—and how she’s enjoying her stint as a judge on American Idol. "
LETTUCE E. COLI RECALL,https://vegnews.com/2010/5/lettuce-e-coli-recall,"MAY 6, 2010","Yesterday, Freshway Foods based in Syndney, Ohio, announced a recall of its bagged, grab-and-go romaine lettuce in 23 states and the District of Columbia. The recall was initiated after New York public health officials traced 12 cases of E. coli back to a bag of Freshway Foods romaine lettuce. Currently, 19 cases of the illness across the country have been linked to the company’s bagged greens. In its recall announcement, Freshway Foods said the lettuce was sold to wholesalers, food service outlets, and in-store salad bars and delis. In 2006, leafy greens were recalled due to an E. coli outbreak caused by factory-farm runoff onto spinach. "
INDIA BANS LEATHER SHOES,https://vegnews.com/2010/5/india-bans-leather-shoes,"MAY 5, 2010","This week, India’s Central Board of School Education and the Council for the Indian School Certificate Examination (CISCE) approved a proposal by Maneka Gandhi to replace leather shoes with cruelty-free canvas alternatives as the required footwear in Indian schools. The proposal states that black leather shoes were introduced as part of a required school uniform during Britain’s colonial rule of India, and that by replacing them with canvas shoes, the country can choose its own, more eco-friendly, option. Representatives of CISCE say that the move will benefit schoolchildren and their families, as leather shoes require routine cleaning, polishing, and maintenance while canvas shoes are more comfortable and durable. "
UK FISH STOCK DROPS,https://vegnews.com/2010/5/uk-fish-stock-drops,"MAY 5, 2010","UK fish numbers are down 94 percent, causing British fishermen to work 17 times harder today than they did over a century ago, according to a new study published in Nature Communications. The research, conducted by scientists from the University of York and the Marine Conservation Society, attributes the sharp drop in numbers to overfishing. The study also examines declines in specific fish: Halibut have declined 500 times, haddock have decreased more than 100 times, and cod have diminished by 87 percent. The report concludes that advances in fishing technology are responsible for the drop in numbers. "
MEAT-FREE ANNIVERSARY,https://vegnews.com/2010/5/meat-free-anniversary,"MAY 5, 2010","Today, Ghent, Belgium, is celebrating the one-year anniversary of Veggie Day, its weekly, meat-free campaign to reduce meat consumption citywide. On May 6, 2009, Ghent became the first global city to dedicate one day per week to vegetarian eating. In honor of its anniversary, officials in Ghent have planned a celebration that includes handing out free veggie sandwiches and appearances by Councilman Tom Balthazar and veg celebrity and cookbook author Evy Guyaert. The decision to declare a weekly Veggie Day came after government officials recognized the negative health hazards and environmental impact associated with consuming meat. "
JOSÉ ANDRÉS LOVES VEGGIES,https://vegnews.com/2010/5/jose-andres-loves-veggies,"MAY 4, 2010","On Sunday, Anderson Cooper profiled Spanish chef José Andrés on 60 Minutes, and the world-renowned cook boldly stated that the future of cooking is vegetables and fruits, and said that he finds meat overrated and boring. Andrés, who owns eight restaurants in the US, compared the experience of eating pineapple to chicken, concluding that fruit offers a richer, longer lasting taste than meat. While not vegetarian, Andrés says that he doesn’t eat meat regularly, and that vegetables, such as asparagus and green peas, offer tastier alternatives to lackluster meat. Andrés is well known for his exploration and experimentation with molecular gastronomy, which studies the physical and chemical processes occurring during cooking. "
S’MAC VEGAN OPTION,https://vegnews.com/2010/5/smac-vegan-option,"MAY 4, 2010","Last week, popular eatery S’mac—short for Sarita’s Macaroni & Cheese—added a vegan, soy- and gluten-free version of its famous mac and cheese to the menu. Located in New York’s East Village, the new cruelty-free comfort food is made with coconut milk, palm oil, shortening, marmite, spices, and two types of gluten-free flour. Customers can either order their mac and cheese straight up, or spice up their meals by adding herbs, veggies, or condiments. S’mac is located on East 12th street and is open seven days a week. The eatery offers free delivery on orders exceeding $10 for nearby residents. "
VEGAN VIDEO GAME,https://vegnews.com/2010/5/vegan-video-game,"MAY 4, 2010","Vegans now have a humorous alternative to cruel hunting video games in the form of Tofu Hunter, an online action game that pits vegan hunters against tofu targets. The first-person perspective game was released by Adult Swim Games and developed by This Is Pop. The silly take on hunting games pictures small blocks of tofu and tofu dogs adorned with antlers, and warns players that the game depicts barbaric acts of violence against tofu for the sake of veganism. When targeted and hit, the blocks of tofu explode into bloody bits and pieces of scattered bean curd. "
VEGAN HOSPITAL FOOD,https://vegnews.com/2010/5/vegan-hospital-food,"MAY 3, 2010","In an effort to offer patients healthy, tasty food, Feather River Hospital in Paradise, Calif., has opened Garden Fresh Bistro, an all vegan restaurant, in its cafeteria. Hospital representatives say that the restaurant has been a big success, and that everyone from employees to community residents are visiting and enjoying the food. Currently, the restaurant is open for lunch Monday through Friday, 11am to 3pm, and menu items include veggie wraps, sandwiches, soups, and entrées, including lasagna, enchiladas, and potpies. The hospital chose to make the entire menu vegan after discovering the many health benefits gained from eating a vegan diet. "
MEAT-FREE MARIO BATALI,https://vegnews.com/2010/5/meat-free-mario-batali,"MAY 3, 2010","This week, former Iron Chef star Mario Batali announced he supports the Meat-Free Monday initiative to reduce meat consumption, and will now offer more vegetarian options in his 14 restaurants across the US. Batali says that he plans to introduce at least two vegetarian entrées every Monday, with possibilities including plant-based pastas and pizzas. Menus will make the meat-free options obvious, each marked with “MM.” The outspoken omnivorous chef says he doesn’t expect the whole world to go veg, but embraces meat-free meals and believes that reducing meat consumption is better for health and the planet. "
NYC VEGAN PIZZA TAKEOVER,https://vegnews.com/2010/5/nyc-vegan-pizza-takeover,"MAY 3, 2010","On April 1, cruelty-free cheese company Daiya launched its retail packaging, and grocery stores and restaurants across the country have been clamoring to get their hands on it. This week, at the suggestion of animal-rights group Mercy For Animals (MFA), Manhattan’s Saluggi’s pizzeria has begun to serve Daiya on a trial basis. The Saluggi’s menu switch is the first success in a much bigger campaign that MFA is launching to bring vegan cheese to plant-based pies. Currently, the group is reaching out to pizzerias in Manhattan and Brooklyn. Prior to testing out Daiya, Saluggi’s offered a variety of vegetarian pizzas, but no vegan-friendly cheese alternatives. "
GET INSIDE THE HEAD OF VEG AUTHOR ROBIN BRANDE,https://vegnews.com/2010/5/get-inside-the-head-of-veg-author-robin-brande,"MAY 2, 2010","Robin Brande discovered her passion for writing when she was 10 years old, “but by the time I graduated from college with an English degree, [writing] didn’t seem like a practical career.” Thankfully, her mindset changed and she left her law career for a world of life lessons, teenage romance, and the scientific method. Brande is happily pursuing her childhood dream and inspiring a new generation of young women. While researching her second novel, Fat Cat, Brande uncovered the truth behind factory farming and embraced veganism almost overnight. Now, the accomplished author weaves another lesson of compassion with her words, helping veg lit reach the mainstream. With two successful young-adult novels to her name, Brande is currently toiling away on her newest tale, Parallelogram, due out in 2011. VegNews: Do you feel that you have a social responsibility as a writer?
Robin Brande: I feel a huge responsibility. I write primarily for young adults, and I’m very conscious both of being a positive role model myself, and of providing positive role models in my novels. I try never to preach, but just to open up a conversation and show readers another way to look at things. VN: How can the written word be used as a form of activism?
RB: I think there are two ways to go about it. One is to print the unflinching truth, no matter how unattractive and difficult it is for people to read. The other method, and one that I use, is to weave it into our work and let people come to it sideways. Sometimes a gentle introduction can lead people to want to do more investigation on their own. That’s certainly what happened to me. VN: What themes are most recurrent in your work? What are your favorite subjects to explore?
RB: My novels all involve science of some sort—evolution, health and nutrition, quantum physics—but the main theme is transformation. The young women in my novels find what it takes within themselves to become stronger, more confident, happier, better able to be who they really are, no matter who’s pressuring them to be otherwise. Plus, I always throw in some romance, because science always goes better with some kissing. VN: What do you see in the future of veganism and animal rights?
RB: People want to be well. People want to do the right thing. The food and health care industries are already pushing people toward wanting better, saner solutions on how to live right. Maybe, as with global warming, all it will take is one person, one event—ike maybe Oprah going back to veganism after that brief flirtation with it—to open people’s eyes. VN: Are you involved with other social causes? Do you see an intersection with animal rights?
RB: My core group is girls and young women. I want them to be safe, independent, healthy, and strong. Many societies still treat their young women as property, as something to be sold or used and tossed away. Cruelty is cruelty. If you’re working for peace in this world, there are plenty of places to dive in, whether it’s for animal or human rights. The great thing about being vegan is you can do that and work for other causes while you’re at it. VN: Tell us about your upcoming novel, Parallelogram.
RB: It’s about a high school science genius, who uses her knowledge of quantum physics and string theory to bridge the gap into the next universe over, where she meets another version of herself who is very different from how she is here. She has to figure out how to become more like that girl than her own, less-exciting self. It’s all based on my own secret wish that I were Xena or someone cool like that. "
VEGAN CHEF ON MARTHA,https://vegnews.com/2010/5/vegan-chef-on-martha,"MAY 2, 2010","Today, vegan chef Bryant Terry is featured on The Martha Stewart Show as one of three green chefs teaching host Martha Stewart how to prepare healthy, vegetarian meals. While chatting about plant-based cooking with Stewart, Terry demonstrates how to cook spinach and citrus chard. The episode centers on food figure Alice Waters, who profiled the three featured chefs in her latest book, In the Green Kitchen. Stewart, Waters, and the three chefs engage in a discussion about eating healthy food using seasonal ingredients, and the program features several other vegetarian cooking demonstrations, including collard greens, corn muffins, and garlic kale crostini. "
VEG THRIVING IN UK,https://vegnews.com/2010/5/veg-thriving-in-uk,"MAY 2, 2010","The number of gourmet vegetarian restaurants based in Britain has increased by 50 percent since 2007, according to research by Alex Bourke, founder and director of Vegetarian Guides. Bourke attributes the rise in meat-free eateries to greater public awareness concerning the health and environmental benefits gained from eating vegetarian food. Two high-end, plant-based restaurants celebrated grand openings in April: veg-friendly Italian eatery Amico Bio and a second location of all-vegan Saf. The increase of more vegetarian options isn’t only to satisfy cruelty-free palates, as Bourke suggests that many omnivores are now choosing to reduce meat consumption. "
GARY DANKO NIXES FROG LEGS,https://vegnews.com/2010/4/gary-danko-nixes-frog-legs,"APRIL 30, 2010","In an effort to move towards more environmentally sustainable business practices, San Francisco-based gourmet restaurant Gary Danko has announced it will remove frog legs from its menu. The change was prompted by a global movement to protect amphibians from extinction by phasing out the dish from restaurants around the world, and it coincides with animal-rights group Saves the Frogs second annual Save the Frogs Day. Researchers estimate that more than 100 million frogs are removed from the wild annually for food production. In addition to human consumption, amphibians are at risk due to habitat loss and pollution. "
VEGGIE TRAILS FOOD WAGON,https://vegnews.com/2010/4/veggie-trails-food-wagon,"APRIL 29, 2010","Starting tomorrow, hungry herbivores residing in the Windy City can bite into vegetarian sloppy joes and bbq wraps at the grand opening celebration of Veggie Trails, a new cowboy-themed vegetarian concession truck. The cowboy cuisine will be available at the Urbana Farmer’s Market in Lincoln Square, and almost all of the savory lunchtime goodies can be served vegan. Veggie Trails also makes and sells homemade, 100-percent organic, vegetarian jerky called V-Jerky. With wagon wheels and cowboy hats decorating the truck’s exterior and aptly named vegan menu items such as “Chuckwagon Chili” and “Buckaroo Fruit Wrap,” the charming western theme makes Veggie Trails hard to miss. "
ANIMAL ART SHOW,https://vegnews.com/2010/4/animal-art-show,"APRIL 29, 2010","On Sunday, May 2, the Animal Rights Foundation of Florida (ARFF) will be hosting its first-ever art show at gourmet vegetarian eatery Sublime Restaurant in Ft. Lauderdale, Fla. The event starts at 5:30pm, and all of the art will be available for purchase, with 100 percent of the evening’s proceeds benefiting ARFF. Art show attendees and participants will receive 10 percent off dinner at Sublime, where plant-based entrées include tuscan quiche and linguini puttanesca. For more than 20 years, ARFF has been Florida’s most active organization helping to save and protect animals. "
M CAFÉ CHARITY,https://vegnews.com/2010/4/m-cafe-charity,"APRIL 29, 2010","Los Angeles is known as the City of Angels, and on April 29, veg-friendly M Café will join a citywide collective of restaurants participating in Dining Out For Life 2010 by donating 25 percent of its daily profits to Project Angel Food. The charity provides and delivers free meals to those living with HIV, AIDS, cancer, and other life threatening illnesses in the LA area. The macrobiotic chain owns three restaurants in California, and its locations in Beverly Hills and West LA will be participating in the charity benefit. Plant-based menu items at M Café include a curried tempeh salad wrap and shiitake avocado roll sushi. "
AKRON’S NEW VEGAN CAFÉ,https://vegnews.com/2010/4/akrons-new-vegan-cafe,"APRIL 28, 2010","Earlier this spring, vegan eatery Ms. Julie’s Kitchen celebrated its grand opening in Akron, Ohio. Owner and vegan cookbook author Julie Costell serves up breakfast, lunch, and dinner Monday through Friday, and offers lunch and dinner on Saturday afternoons. The casual café offers take-out and delivery, and its menu ranges from spelt flour waffles to hearty sandwiches. Costell was inspired to open the eatery after experiencing tremendous health benefits after transitioning to a raw, vegan diet. The business got its start selling waffles and baked treats at local farmers’ markets, but demand soon required Costell to open a retail space for customers to chow down on her healthy, delicious dishes. "
FIT VEGAN FIREFIGHTERS,https://vegnews.com/2010/4/fit-vegan-firefighters,"APRIL 28, 2010","Last February, vegan firefighter Rip Esselstyn, author of the bestselling Engine 2 Diet, was featured on The Dr. Oz Show and challenged three Chicago firefighters to go on vegan diets to get healthy. This week, the three Windy City firefighters are reporting that they’ve each lost between 20 and 30 pounds, lowered their respective cholesterol levels, and feel healthier and more energized than ever before. Along with eliminating meat, dairy, and extracted oils from their diets, the firefighters also upped their exercise regimes. The men plan to stick to their new diets, and now claim kale, quinoa, and oatmeal as new favorite foods. "
ANIMAL DEFENSE VIDEO,https://vegnews.com/2010/4/animal-defense-video,"APRIL 28, 2010","This week, the Animal Legal Defense Fund launched a new video campaign aimed at raising awareness to animal-rights and cruelty issues. The video, titled “This Is Who We Are,” draws a parallel between the legal standing of animals and inanimate luxury objects such as automobiles and furniture, and says that while both are legally unrepresented, Americans spend more money on such luxury items than on animals. Startling statistics about US consumerism—including that Americans spent $18 billion in 2009 on coffee—are used drive the video’s message home. Rock band Gomez lent its song “How We Operate” to the video. "
CALIFORNIA VEGAN CHIPOTLE,https://vegnews.com/2010/4/california-vegan-chipotle,"APRIL 27, 2010","Yesterday, Chipotle announced that two of its Los Angeles locations and one of its Sacramento locations would now serve its vegan garden blend meat alternative. The Los Angeles stores are located in Beverly Center and Beverly Hills, and the Sacramento location is in Highland Plaza. The three California locations now join the chain’s Chelsea location in New York City, the Dupont Circle location in Washington, DC, and one of its stores in Denver, in serving garden blend. The vegan-friendly meat alternative is made of wheat protein, soy protein, and fresh veggies marinated in Chipotle’s adobo sauce and grilled separately from its meat items. The burrito chain launched garden blend last October at its Dupont Circle location so that vegans, vegetarians, and those wanting to reduce meat intake had an option apart from just beans, rice, and veggies. Photo courtesy of Kathy Patalsky. "
RISING RECORD MEAT PRICES,https://vegnews.com/2010/4/rising-record-meat-prices,"APRIL 27, 2010","On Monday, financial analysts at Bloomberg L.P. predicted that meat prices are set to reach record highs as early as June, and that many consumers may reduce their meat consumption as a result. The sharp spike in retail prices is due to factory farms reducing their slaughters to the smallest size in decades, a move that was forced by increasing feed costs connected to the need for more ethanol. Researchers estimate that domestic meat supply may plummet to a 13-year low as a result of the push by former President George W. Bush to increase ethanol levels. With the unemployment rate nearing a 26-year high, analysts expect consumers to shy away from exorbitantly overpriced meat products. "
DINER SERVES VEGAN WAFFLES,https://vegnews.com/2010/4/diner-serves-vegan-waffles,"APRIL 27, 2010","The recent opening of breakfast destination Waffle Frolic in Ithaca, NY, proves that vegan options are becoming a normal part of omnivore menus. The late-night diner serves vegan and gluten-free waffles, and cruelty-free toppings—aside from maple syrup—include walnuts, granola, shredded coconut, apple butter, peanut butter, and fresh fruit. Vegan customers can order soy lattes, chai teas, or dress up black coffee with hemp milk. The eatery is opening just in time for the third annual Global Vegan Waffle Party on May 29, giving plant-based patrons the perfect place to celebrate and chow down. "
FIRST SF VEGAN BAKERY,https://vegnews.com/2010/4/first-sf-vegan-bakery,"APRIL 26, 2010","Last Saturday, San Francisco welcomed the opening of Wholesome Bakery’s 100-percent vegan storefront. The dairy-free confectioners joined other food-centric stalls under one rooftop, which currently holds six diverse marketplace vendors in its Bernal Heights location. Everything available at Wholesome Bakery is soy-, cholesterol-, trans fat-, and yeast-free to ensure that people with food allergies can enjoy its products. The company also employs green practices by using biodegradable packing, focusing on local and organic ingredients, and delivering its baked goods via bicycle whenever possible. Before graduating to a storefront and permanent location, Wholesome Bakery sold its cruelty-free cookies, doughnuts, cupcakes, and pies to local grocery stores. "
ANIMAL FEED CAUSES SMOG,https://vegnews.com/2010/4/animal-feed-causes-smog,"APRIL 26, 2010","Findings released last Wednesday from a study on the causes of smog in San Joaquin Valley, Calif., suggest that cattle feed, not just automotive exhaust, may be responsible for the area’s high levels of ozone gas. San Joaquin Valley, a moderately populated agricultural community, exhibits greater smog rates than more densely populated and car-centric cities. Scientists say that the greater rates are due to how fermented livestock feed interacts with automotive exhaust. Emissions of reactive organic gases produced by livestock combine with combustion emissions from gasoline-powered vehicles and sunlight to form smog. The study suggests that there is a direct relationship between a reduction in animal consumption and decreased environmental impact. "
VIVA VEGAN! HITS SHELVES,https://vegnews.com/2010/4/viva-vegan-hits-shelves,"APRIL 26, 2010","Today, vegan chef and cookbook author Terry Hope Romero celebrates the release of her latest offering, Viva Vegan!: 200 Authentic and Fabulous Recipes for Latin Food Lovers. Romero’s first solo cookbook boasts 200 Latin food recipes ranging from appetizers, such as Cuban Vegano Sandwiches, to entrées, including Corn-Crusted Pumpkin Potato Empanadas. The book arrives on shelves just in time for Cinco de Mayo, and Romero will celebrate the book’s official launch on May 6 from 12pm to 6pm at stylish vegan shoe store MooShoes in New York City. Other works co-authored by Romero include Veganomicon: The Ultimate Vegan Cookbook and Vegan Cupcakes Take Over the World. "
THE COLLEGE STUDENTS WHO WANT YOU TO PLEDGE VEG,https://vegnews.com/2010/4/the-college-students-who-want-you-to-pledge-veg,"APRIL 25, 2010","Students for Animal Rights (StAR), a coalition uniting activists from university campuses across the country, is promoting its third annual 2010 International College Veg Pledge initiative. The movement calls upon college students to commit to a vegan diet for the month of May, and organizers hope to recruit up to 25,000 students to go meat-free. Three years ago, StAR was founded in order to unify animal-rights activists at Ivy League universities. Today, the organization has expanded to create a global alliance of compassionate college students. With reps at almost 50 college campuses, students from Argentina, Brazil, Canada, England, Estonia, France, Germany, Mexico, and New Zealand have so far taken the 2010 College Veg Pledge. Between juggling a full course load, tirelessly campaigning for animal welfare, and preparing for his new job with The Humane League, StAR Outreach Coordinator Kenny Torrella found some time to catch up with VegNews and talk about his efforts with the College Veg Pledge. VegNews: What are some of the most effective strategies for reaching out to other young people and sharing the veg lifestyle?
Kenny Torrella: I think it’s important to show people the broad impact of their food choices. I know that most college students want to make a difference in the world, but they just don’t know how, or feel that as individuals they won’t have any real impact. VN: How is social networking and new media becoming the modern face of animal-rights activism?
KT: I think footage of factory farming gets students interested in the vegan lifestyle because they see where their food really comes from. And what gets students really excited are vegan food blogs. We’re big fans of Vegan Crunk! VN: What are some tips for college students ready to go vegan, but not sure how to make it happen?
KT: It’s important to become a part of your local veg community, whether it’s a student club, a meetup.com group, or an advocacy organization-try to get involved! Transitioning to veganism was easy for me because I had a community with whom to share recipes, eat and talk. If you’re on the other end, as an organizer, I’ve learned how important it is to build up a community, to make others feel welcome. Host potlucks and parties and get people connected to one another. VN: How do you see StAR growing?
KT: The core idea of StAR is power in unity. The collegiate movement for farm animals is energized and impassioned, but it is also heavily fragmented. The inevitable result is that college groups all over the map are constantly reinventing the wheel or feeling isolated and powerless and getting burned out. With today’s online social networking tools, there’s no excuse anymore for this sort of fragmentation. There’s no reason why every single college group advocating for farm animals can’t be connected with every other group across the globe. StAR is about cultivating a team spirit and collaborative relationships between college animal advocacy groups, so we can thrive on mutual inspiration, learn from each other’s mistakes, build on each other’s successes, and boost our collective potential. VN: What do you foresee for the vegan movement in the next 10 years?
KT: I think veganism will continue to become more mainstream. Some of the world’s top celebrities are outspoken about veganism, which not only reaches out to their audience, but also has an impact on our culture as a whole. I also foresee farm animals continually receiving more protection under legislation like California’s Prop 2 and this year’s Ohioans for Humane Farms ballot initiative. "
ANIMAL FACTORY IN TIME,https://vegnews.com/2010/4/animal-factory-in-time,"APRIL 25, 2010","On Friday, Time Magazine online published a Q&A article with Animal Factory author David Kirby. A journalist by trade, Kirby discusses his research into factory farms, talking about the unnatural diets, growth hormones, and antibiotics to which farm animals are subjected. He explains that the government euphemizes factory farm facilities by referring to them as Concentrated Animal Feeding Operations, or CAFOs, which makes it easier to reduce “a beef cow [into] an animal unit.” Through use of a chilling anecdote about a pig farm, Kirby discusses the inhumane treatment of animals in factory farms and also addresses the environmental pollution that attends this industrial-farming system. "
KENTUCKY FRIED CANCER,https://vegnews.com/2010/4/kentucky-fried-cancer,"APRIL 25, 2010","In honor of National Breast Cancer Awareness Month, Kentucky Fried Chicken will package its buckets of chicken in pink tubs labeled “Buckets for the Cure,” and is donating 50 cents from each bucket to the Susan G. Komen Breast Cancer Foundation. The special, which runs throughout May, has stirred controversy among consumers, who argue that the deep-fried, chemically treated food is an inappropriate menu item to promote breast-cancer awareness, as it has been proven to increase cancer risk. Critics are calling the partnership disingenuous and dangerously misleading. "
SEA SHEPHERD IN NYC,https://vegnews.com/2010/4/sea-shepherd-in-nyc,"APRIL 25, 2010","From April 23 to May 5 the Sea Shepherd Conservation Society’s flagship vessel, the Steve Irwin, will be docked in New York City for fans to tour and help maintain. The crew, who just returned from their latest whale-defense campaign in the Antarctic, will be leading tours of the ship, as well as recruiting new volunteers and society members. On Friday, April 30, Captain Paul Watson and his crew will be hosting A NYC Evening For the Oceans, a benefit in Manhattan to raise money for the society. The cocktail party fundraiser will run from 7:30pm to 11:30pm at Collective Hardware, between Broome and Kenmare. "
AIRLINE BANS LAB ANIMALS,https://vegnews.com/2010/4/airline-bans-lab-animals,"APRIL 24, 2010","Lufthansa airlines recently announced that it has introduced a new policy prohibiting the transport of cats and dogs to laboratories. This announcement comes shortly after People for the Ethical Treatment of Animals (PETA) released photos of more than 50 dogs being flown to Charles River Laboratories, an animal testing facility in Scotland. Charles River Laboratories, which has facilities throughout the US and Europe, has been repeatedly fined mistreating animals, including negligence that resulted in the deaths of 33 monkeys. With this change in policy, Lufthansa joins Cathay Pacific and Qantas airlines, which have also banned animals from being transported to labs. "
WORLDWIDE BAKE SALES,https://vegnews.com/2010/4/worldwide-bake-sales,"APRIL 23, 2010","This weekend, the Worldwide Vegan Bake Sale kicks off, bringing together folks looking to satisfy a sweet tooth—whether they be vegan or yet-to-be vegan! Ninety-five vegan bake sale events are scheduled to take place between April 24 and May 2, from São Paulo, Brazil; San José, Costa Rica; London, England; Vancouver, Canada; to Houston, Texas. All of the event proceeds will go to an animal-advocacy cause chosen by the bake-sale organizers, such as Animal Aid Abroad, Supreme Master Ching Hai International Association, and to the victims of the recent earthquakes in Haiti and Chile. Last year, more than $25,000 was raised. "
MEET MARKET VEGAN BRUNCH,https://vegnews.com/2010/4/meet-market-vegan-brunch,"APRIL 23, 2010","The Meet Market, a vegan sandwich shop and boutique grocery store located in the Silverlake neighborhood of LA, is hosting its second all-you-can-eat benedict brunch this Sunday. If last month’s event is any indication, breakfasting herbivores can expect to have their fill of vegan French toast, pancakes, and waffles, seitan bacon and sausage, tofu scramble, fresh fruit, and mini tofu-topped toasts-for $10 per person. Folks who can’t make it to Sunday’s event can always drop by Meet Market any day of the week for “Chicken” Caesar Salad, Roast “Beef” & Cheddar Sandwiches, and fresh-made fruit and vegetable juices. "
MEAT-FREE MARTHA,https://vegnews.com/2010/4/meat-free-martha,"APRIL 22, 2010","Celebrity epicurean Martha Stewart is celebrating Earth Week by featuring nearly 100 vegetarian recipes on MarthaStewart.com. Veg-curious cooks in need of a quick fix can peruse ”Quick Meatless Recipes,” with vegan options such as Vegetarian Black-Bean Chili, Tofu Stir-Fry, and Couscous Salad with Roasted Vegetables and Chickpeas. Home chefs searching for heartier fare can try some of Martha’s “Meatless Comfort Food Recipes,” including vegan selections like Cuban Black-Bean Stew with Rice. Stewart has given the vegetarian lifestyle several nods this year, acknowledging National Soy Month and providing meat-free Thanksgiving meal ideas. "
THE COVE CONVERTS HUNTER,https://vegnews.com/2010/4/the-cove-converts-hunter,"APRIL 22, 2010","After viewing the Oscar-winning film The Cove—a documentary focusing on dolphin capture and slaughter in Japan—dolphin tradesman Chris Porter has decided to ditch his line of work and release the dolphins currently under his care back into the wild. Porter, who has been called the “Darth Vader of dolphin hunting” due to his participation in capturing and selling more than 80 dolphins to aquariums, was also moved by the recent events surrounding killer whale Tillikum at Sea World. Before his change of heart, Porter believed that captive marine mammals were useful as educational tools and had worked as a trainer. "
MARYLAND VEGWEEK KICKOFF,https://vegnews.com/2010/4/maryland-vegweek-kickoff,"APRIL 22, 2010","Tomorrow, federal, state, and local lawmakers will gather in Takoma Park, MD, to help launch the second annual Maryland VegWeek, a statewide celebration of vegetarianism in honor of Earth Day. In addition to Takoma Park, Marylanders dwelling in Montgomery County will also be participating in VegWeek. The event, organized by Compassion Over Killing, runs from April 24 to April 30, and encourages reducing meat consumption and promotes the many benefits of a plant-based diet. This year, Maryland lawmakers including Congresswoman Donna Edwards, State Delegate Tom Hucker, Senator Jamie Raskin, Senator David Harrington, and Montgomery County Council Vice President Valerie Ervin have all pledged to go veg for the week. "
BREAD & BREW MENU SWITCH,https://vegnews.com/2010/4/bread-andamp-brew-menu-switch,"APRIL 21, 2010","Today, in honor of Earth Day, Washington, DC’s Bread & Brew will offer an entirely vegan menu, and beginning on April 26, the eatery will banish all meat products on Mondays. Customers dining at Bread & Brew today can expect, among other menu items, plant-based polenta bites with mushroom pâté, vegan Caesar salad, and meat-free chicken salad sandwiches. This is the second year the restaurant has gone cruelty-free for Earth Day, and tonight it will serve vegan drinks to cap off the celebration. Ten percent of the day’s gross proceeds will benefit animal-rights group Compassion Over Killing. "
NEW SCHOOLS ACT,https://vegnews.com/2010/4/new-schools-act,"APRIL 21, 2010","Yesterday, Congressman Jared Polis (D-CO) introduced a House Resolution entitled the Nutrition Education and Wellness in Schools Act (NEW Schools Act), a national initiative to improve physical fitness programs and nutrition education in public schools. Polis says that existing wellness programs have proven ineffective. His new proposal would provide training and technical assistance for the improvement of school meals, strengthen nutrition and fitness teaching methods, and develop statewide campaigns to promote healthier options for the National School Lunch Program and School Breakfast Program. If passed, the NEW Schools Act would offer financial incentives for school districts to continue improving its physical fitness and wellness efforts. Congressman Polis also introduced the Healthy School Meals Act. "
JAKE SHIELDS’ VEG WIN,https://vegnews.com/2010/4/jake-shields-veg-win,"APRIL 21, 2010","Proving that you don’t have to eat animals to succeed in the ring, meat-free muscle man Jake Shields beat UFC veteran Dan Henderson to win the Strikeforce middleweight title fight and retain his title. Last Saturday, the California native and lifelong vegetarian fought his way to a win in five rounds as approximately 3 million viewers tuned in to watch the televised mixed martial arts event. Henderson, a two-time Olympian and former titleholder of a two-division Pride Fighting Championships title, was heavily favored. Shields also acts as a force outside the ring, championing animal-rights causes. Shields boasts an impressive three Gracie Jui-Jitsu black belts and has also appeared on MTV’s Bully Beatdown. "
TRIBUNE SELECTS “ANIMAL-FREE”,https://vegnews.com/2010/4/tribune-selects-animal-free,"APRIL 20, 2010","In honor of Earth Day, the Chicago Tribune released a Top 50 list of green iPhone apps and acknowledged the correlation between veganism and environmentalism by naming the Animal-Free app its number-one choice in the “Shopper” category. Animal-Free is a resource for determining if ingredients are animal-friendly. In the same category is Cruelty-Free, a shopping guide for cruelty-free household products and cosmetics. In the “Dining Out/Dining In” category, the Tribune included VegOut, a comprehensive list of vegan, vegetarian, and vegetarian-friendly restaurants. "
CAGE-FREE DOUBLE RAINBOW,https://vegnews.com/2010/4/cage-free-double-rainbow,"APRIL 20, 2010","Double Rainbow Gourmet Ice Creams has agreed to phase-in cage-free eggs into its productions. With its shift to include more humane ingredients its recipes, Double Rainbow joins other ice cream companies such as Ben & Jerry’s and Boulder Ice Cream. The San Francisco-based creamery, which has been operating for 34 years, produces more than 60 flavors of ice creams, yogurts, and sorbets. The company avoids artificial ingredients and also produces a number of non-dairy soy ice creams, which are certified kosher pareve and entirely vegan. "
